order_item_id,order_id,product_id,quantity,unit_price
1,1,100,3,102000
2,1,87,5,25000
3,1,7,3,142000
4,1,9,3,193000
5,2,72,4,189000
6,3,33,5,124000
7,3,20,3,80000
8,3,11,5,115000
9,4,45,3,62000
10,4,84,4,78000
11,5,77,1,71000
12,5,40,5,174000
13,6,83,3,24000
14,6,17,5,84000
15,6,12,4,175000
16,6,66,3,39000
17,7,47,3,11000
18,8,28,3,5000
19,8,99,4,200000
20,9,29,2,78000
21,9,20,1,80000
22,10,13,5,164000
23,10,99,5,200000
24,10,95,5,20000
25,11,85,3,74000
26,12,77,4,71000
27,12,20,2,80000
28,13,89,5,103000
29,13,22,4,112000
30,14,53,3,188000
31,15,57,5,181000
32,15,37,4,193000
33,16,69,2,157000
34,16,40,4,174000
35,17,48,5,67000
36,17,57,4,181000
37,18,100,4,102000
38,18,65,5,36000
39,18,54,2,103000
40,19,78,2,68000
41,19,33,1,124000
42,20,48,5,67000
43,20,14,5,174000
44,20,16,3,81000
45,20,11,2,115000
46,21,58,5,197000
47,21,19,4,108000
48,21,12,2,175000
49,22,45,1,62000
50,22,54,1,103000
51,22,51,5,111000
52,22,48,2,67000
53,23,11,3,115000
54,23,29,1,78000
55,23,41,1,163000
56,23,92,3,111000
57,24,18,1,109000
58,24,37,4,193000
59,25,98,4,10000
60,25,58,5,197000
61,26,11,1,115000
62,27,28,2,5000
63,27,71,5,161000
64,27,68,4,140000
65,28,100,3,102000
66,29,39,1,77000
67,29,7,2,142000
68,30,82,5,75000
69,30,59,1,32000
70,30,15,4,36000
71,30,77,5,71000
72,31,81,5,165000
73,32,92,2,111000
74,32,38,4,173000
75,33,79,3,168000
76,34,74,4,145000
77,34,24,1,196000
78,35,9,5,193000
79,35,70,5,198000
80,35,65,5,36000
81,36,50,4,23000
82,37,82,4,75000
83,38,33,1,124000
84,38,46,1,55000
85,38,45,2,62000
86,39,99,5,200000
87,40,18,1,109000
88,40,46,5,55000
89,40,44,2,177000
90,41,90,4,44000
91,41,81,2,165000
92,41,18,1,109000
93,41,92,4,111000
94,42,38,2,173000
95,43,26,1,82000
96,44,40,5,174000
97,44,51,5,111000
98,44,61,3,50000
99,45,97,2,154000
100,46,46,1,55000
101,46,84,3,78000
102,46,35,1,59000
103,47,56,4,42000
104,47,96,4,112000
105,47,50,3,23000
106,48,64,4,147000
107,48,48,5,67000
108,49,11,4,115000
109,49,11,4,115000
110,49,78,2,68000
111,50,42,1,28000
112,50,11,3,115000
113,50,85,3,74000
114,51,58,5,197000
115,51,92,4,111000
116,51,22,4,112000
117,52,58,1,197000
118,52,94,3,124000
119,52,79,4,168000
120,53,82,1,75000
121,53,10,4,55000
122,53,47,5,11000
123,54,4,2,70000
124,54,78,4,68000
125,55,17,1,84000
126,56,100,3,102000
127,56,47,4,11000
128,57,78,2,68000
129,58,48,3,67000
130,58,57,1,181000
131,58,74,2,145000
132,58,68,3,140000
133,59,41,3,163000
134,59,32,1,172000
135,59,4,2,70000
136,59,64,5,147000
137,60,72,1,189000
138,60,34,3,118000
139,60,91,4,59000
140,60,28,5,5000
141,61,89,4,103000
142,61,26,1,82000
143,61,18,1,109000
144,62,23,4,102000
145,62,12,3,175000
146,62,86,3,86000
147,62,91,1,59000
148,63,39,2,77000
149,63,92,2,111000
150,63,47,5,11000
151,64,16,2,81000
152,64,18,2,109000
153,65,4,3,70000
154,65,71,5,161000
155,65,48,4,67000
156,65,71,2,161000
157,66,9,3,193000
158,67,92,4,111000
159,67,68,4,140000
160,67,99,4,200000
161,67,74,1,145000
162,68,41,1,163000
163,68,58,4,197000
164,69,17,5,84000
165,69,82,5,75000
166,69,24,2,196000
167,70,65,1,36000
168,70,16,5,81000
169,70,20,3,80000
170,70,22,2,112000
171,71,91,2,59000
172,71,45,5,62000
173,71,37,1,193000
174,72,26,5,82000
175,72,36,2,126000
176,72,81,3,165000
177,73,65,2,36000
178,74,22,5,112000
179,74,93,5,89000
180,75,73,1,114000
181,75,4,1,70000
182,75,6,5,5000
183,76,84,2,78000
184,76,99,5,200000
185,76,54,5,103000
186,77,64,5,147000
187,78,83,3,24000
188,78,62,2,183000
189,78,88,4,43000
190,79,59,1,32000
191,79,89,1,103000
192,79,21,4,37000
193,80,62,4,183000
194,80,27,3,145000
195,80,78,2,68000
196,80,41,3,163000
197,81,52,2,152000
198,81,98,3,10000
199,81,66,5,39000
200,82,41,2,163000
201,83,16,3,81000
202,83,58,2,197000
203,83,19,1,108000
204,83,7,3,142000
205,84,79,4,168000
206,84,32,2,172000
207,84,42,5,28000
208,84,93,3,89000
209,85,98,2,10000
210,85,64,5,147000
211,86,64,3,147000
212,86,64,1,147000
213,86,12,4,175000
214,86,65,4,36000
215,87,28,5,5000
216,87,46,1,55000
217,88,37,4,193000
218,89,37,5,193000
219,89,2,1,34000
220,89,56,2,42000
221,89,34,3,118000
222,90,47,1,11000
223,90,52,1,152000
224,90,73,5,114000
225,90,25,3,162000
226,91,10,4,55000
227,91,65,4,36000
228,91,98,5,10000
229,92,80,5,138000
230,92,16,2,81000
231,92,13,4,164000
232,93,44,5,177000
233,93,47,2,11000
234,93,26,5,82000
235,94,65,1,36000
236,94,6,1,5000
237,94,18,3,109000
238,94,61,5,50000
239,95,20,5,80000
240,95,66,2,39000
241,95,42,5,28000
242,95,41,2,163000
243,96,79,3,168000
244,96,76,3,126000
245,96,65,5,36000
246,96,69,4,157000
247,97,61,1,50000
248,97,48,3,67000
249,97,87,1,25000
250,98,75,3,45000
251,98,93,1,89000
252,98,77,4,71000
253,98,34,5,118000
254,99,93,1,89000
255,99,75,4,45000
256,100,68,5,140000
257,100,100,4,102000
258,101,88,2,43000
259,101,5,5,186000
260,102,25,1,162000
261,103,41,4,163000
262,103,20,4,80000
263,103,89,2,103000
264,103,53,5,188000
265,104,95,1,20000
266,104,91,2,59000
267,104,67,2,123000
268,104,72,3,189000
269,105,68,4,140000
270,105,41,2,163000
271,105,59,5,32000
272,105,44,5,177000
273,106,87,3,25000
274,106,79,4,168000
275,106,25,2,162000
276,107,72,3,189000
277,107,29,3,78000
278,107,99,3,200000
279,108,89,4,103000
280,108,41,4,163000
281,109,72,3,189000
282,109,37,1,193000
283,109,74,5,145000
284,110,51,3,111000
285,110,99,2,200000
286,110,38,1,173000
287,110,37,1,193000
288,111,57,3,181000
289,111,96,4,112000
290,111,28,2,5000
291,112,72,3,189000
292,112,18,1,109000
293,112,79,5,168000
294,113,32,1,172000
295,113,86,5,86000
296,114,82,2,75000
297,114,7,1,142000
298,115,43,4,197000
299,115,13,2,164000
300,115,1,5,160000
301,115,21,4,37000
302,116,62,2,183000
303,116,97,3,154000
304,116,42,3,28000
305,116,83,1,24000
306,117,84,5,78000
307,118,69,1,157000
308,118,23,4,102000
309,119,5,4,186000
310,119,64,2,147000
311,120,5,1,186000
312,120,39,5,77000
313,120,78,1,68000
314,121,37,4,193000
315,121,83,5,24000
316,121,68,4,140000
317,122,65,4,36000
318,122,35,2,59000
319,123,43,2,197000
320,124,83,3,24000
321,124,92,2,111000
322,124,2,3,34000
323,124,38,5,173000
324,125,23,5,102000
325,125,82,4,75000
326,126,66,3,39000
327,126,12,4,175000
328,126,86,1,86000
329,126,24,2,196000
330,127,42,2,28000
331,127,1,3,160000
332,127,50,2,23000
333,127,58,3,197000
334,128,39,5,77000
335,128,93,5,89000
336,128,2,3,34000
337,129,89,2,103000
338,129,8,1,189000
339,129,60,3,113000
340,130,52,5,152000
341,130,91,3,59000
342,131,82,3,75000
343,132,79,2,168000
344,132,29,2,78000
345,132,62,2,183000
346,133,96,5,112000
347,133,48,4,67000
348,133,90,5,44000
349,133,61,5,50000
350,134,98,2,10000
351,134,88,5,43000
352,135,68,4,140000
353,136,10,5,55000
354,136,15,1,36000
355,136,71,5,161000
356,137,74,5,145000
357,137,20,2,80000
358,138,67,4,123000
359,138,15,2,36000
