product_id,product_name,category,price
1,전자기기 상품 001,전자기기,160000
2,도서 상품 002,도서,34000
3,전자기기 상품 003,전자기기,152000
4,생활용품 상품 004,생활용품,70000
5,식품 상품 005,식품,186000
6,전자기기 상품 006,전자기기,5000
7,도서 상품 007,도서,142000
8,스포츠 상품 008,스포츠,189000
9,스포츠 상품 009,스포츠,193000
10,스포츠 상품 010,스포츠,55000
11,패션 상품 011,패션,115000
12,식품 상품 012,식품,175000
13,패션 상품 013,패션,164000
14,패션 상품 014,패션,174000
15,뷰티 상품 015,뷰티,36000
16,스포츠 상품 016,스포츠,81000
17,도서 상품 017,도서,84000
18,스포츠 상품 018,스포츠,109000
19,패션 상품 019,패션,108000
20,스포츠 상품 020,스포츠,80000
21,도서 상품 021,도서,37000
22,생활용품 상품 022,생활용품,112000
23,스포츠 상품 023,스포츠,102000
24,스포츠 상품 024,스포츠,196000
25,생활용품 상품 025,생활용품,162000
26,도서 상품 026,도서,82000
27,전자기기 상품 027,전자기기,145000
28,뷰티 상품 028,뷰티,5000
29,패션 상품 029,패션,78000
30,생활용품 상품 030,생활용품,115000
31,뷰티 상품 031,뷰티,153000
32,도서 상품 032,도서,172000
33,패션 상품 033,패션,124000
34,전자기기 상품 034,전자기기,118000
35,스포츠 상품 035,스포츠,59000
36,도서 상품 036,도서,126000
37,뷰티 상품 037,뷰티,193000
38,생활용품 상품 038,생활용품,173000
39,식품 상품 039,식품,77000
40,도서 상품 040,도서,174000
41,스포츠 상품 041,스포츠,163000
42,패션 상품 042,패션,28000
43,뷰티 상품 043,뷰티,197000
44,생활용품 상품 044,생활용품,177000
45,패션 상품 045,패션,62000
46,뷰티 상품 046,뷰티,55000
47,생활용품 상품 047,생활용품,11000
48,식품 상품 048,식품,67000
49,전자기기 상품 049,전자기기,161000
50,뷰티 상품 050,뷰티,23000
51,전자기기 상품 051,전자기기,111000
52,스포츠 상품 052,스포츠,152000
53,생활용품 상품 053,생활용품,188000
54,스포츠 상품 054,스포츠,103000
55,전자기기 상품 055,전자기기,107000
56,생활용품 상품 056,생활용품,42000
57,스포츠 상품 057,스포츠,181000
58,식품 상품 058,식품,197000
59,뷰티 상품 059,뷰티,32000
60,뷰티 상품 060,뷰티,113000
61,생활용품 상품 061,생활용품,50000
62,뷰티 상품 062,뷰티,183000
63,도서 상품 063,도서,123000
64,식품 상품 064,식품,147000
65,생활용품 상품 065,생활용품,36000
66,전자기기 상품 066,전자기기,39000
67,뷰티 상품 067,뷰티,123000
68,스포츠 상품 068,스포츠,140000
69,도서 상품 069,도서,157000
70,패션 상품 070,패션,198000
71,전자기기 상품 071,전자기기,161000
72,뷰티 상품 072,뷰티,189000
73,도서 상품 073,도서,114000
74,뷰티 상품 074,뷰티,145000
75,전자기기 상품 075,전자기기,45000
76,스포츠 상품 076,스포츠,126000
77,전자기기 상품 077,전자기기,71000
78,뷰티 상품 078,뷰티,68000
79,뷰티 상품 079,뷰티,168000
80,패션 상품 080,패션,138000
81,전자기기 상품 081,전자기기,165000
82,생활용품 상품 082,생활용품,75000
83,전자기기 상품 083,전자기기,24000
84,스포츠 상품 084,스포츠,78000
85,생활용품 상품 085,생활용품,74000
86,패션 상품 086,패션,86000
87,도서 상품 087,도서,25000
88,생활용품 상품 088,생활용품,43000
89,생활용품 상품 089,생활용품,103000
90,스포츠 상품 090,스포츠,44000
91,스포츠 상품 091,스포츠,59000
92,식품 상품 092,식품,111000
93,전자기기 상품 093,전자기기,89000
94,도서 상품 094,도서,124000
95,전자기기 상품 095,전자기기,20000
96,생활용품 상품 096,생활용품,112000
97,전자기기 상품 097,전자기기,154000
98,스포츠 상품 098,스포츠,10000
99,뷰티 상품 099,뷰티,200000
100,도서 상품 100,도서,102000
